mistreat	0000121
persecute	0000142
accolade	0000142 marked
imperative	0003040
linear	0004333
robust	0003439
swoon over	0000358
peel	0003950
year in and year out (year in, year out)	0000000 marked
homely	0000507 marked
gamut	0000791 marked
outperformance	0000000
denounce	0000891
verge	0003094 marked
peek	0001990
pastry	0002809
frunk	0000000 marked
spinal	0002362
charred	0001282
irrespective	0000820
nutmeg	0001248
nugget	0000289
depletion	0001212
prohibit	0002084
frugal	0000609
broadsheet	0000069
loiter	0000128 marked
freeloader	0000053
overcast	0000741
restlessly	0000354
arrow	0003363
get away with	0206770 marked
chide	0000140
interrogative	0000000 marked
reign	0002737
pioneering	0001885
mocha	0000334
pia	0000000
manner	0018020
descendant	0000804
deadlock	0000489
foresee	0001020
I look forward to hearing from you	0031098 marked
rowdy	0000697 marked
come up	0284722
stationery	0000745 marked
Sorry, I didn't catch that. Could you slow down a bit?	0000000
stock	0041068
use to	0230900
suspend	0001391
mahogany	0001689
overkill	0000459
terror	0012690 marked
distraught	0001131
vociferous	0000301
surge	0005471
tertiary	0000489
italics	0000468
oncoming	0000841
spooky	0000848
tempt	0000674
gleeful	0000342
clumsily	0000503
tannic	0000087
rarely	0015629
whisk away	0003022
forthcoming	0003023 marked
absolve	0000209
seclusion	0000557
complication	0001088
perplex	0000037
locate	0004716
hors d’oeuvres	0000000
latency	0000437
unclear	0004771
accost	0000047 marked
cause	0052891
afoot	0000546 marked
overarching	0000878
clandestinely	0000155
grievous	0000350
despise	0000698 marked
cloister	0000193
represents	0015463
godspeed	0000000 marked
parlance	0000522
Resurrection	0001719
vulgar	0001214
post-it	0000000
liquorice	0000006
attending	0007472
miscommunication	0000000
dismally	0000123
victim	0016735
redeem	0000787 marked
conformity	0001271
skull	0005600
quite a few	0072765
hysterical	0001797
allude	0000321
tax credit	0034637 marked
blow the chance	0013326 marked
nearsightedness	0000000
chagrin	0000599
chief	0049829
accord	0004029
trigonometry	0000112
forfeit	0000582
disintegrate	0000460
despite	0053792
quotient	0000440
groan	0001170
merchandise	0002919
overall tenor	0001511
uninspiring	0000133
obey	0002499
skungy	0000000
botch	0000105 marked
plunder	0000441
look for	0260017 marked
baggage claim	0002641
expatiate	0000017
school bus	0022073
self-centered	0000000
even though	0172470
gobbledygook	0000060
determinant	0000658 marked
low-blow	0000000 marked
gringo	0000293
accessibility	0001545
pelt	0000502
coincidentally	0000858 marked
creditworthiness	0000000
lander	0000000
fracture	0002221
unproductive	0000516
figurine	0000310
retraction	0000284 marked
pre-screen	0000000
It seems to me that	0082585 marked
inefficiency	0000591
CPR (cardiopulmonary resuscitation)	0000000 marked
disinclination	0000000
fornicating?	0000000
absorption	0002123
incompatibility,	0000000
hothead	0000073 marked
at one point or another	0161543 marked
recognize	0023022
warehouse	0004021
indoctrination	0000512
steadfastly	0000471 marked
far-sighted	0000000
compounded	0001479
what's cookin'	0000000
prepubescent	0000000 marked
marina	0002699
inning	0002786 marked
ajar	0000590
shrewd	0001168
(the) final/last straw	0000000 marked
by far	0143088 marked
offend	0001345
commendation	0000222
visual aids	0019206
safeguard	0001431 marked
We are unable to offer you a position this time.	0000000
pen pusher	0000156
diligent	0000776
fateful	0001017
pod	0001395
hulking	0000550
neatly	0004056
no one can deny	0008648
by the book	0108764
indicative	0001670
win the day	0050532 marked
scrutiny	0005140
to prime	0023685
itsy-bitsy	0000000
inalienable	0000388
pop	0015739
misgive	0000000
hairdresser	0000605
routine	0012300
summarise	0000009
pot	0012335
excuse	0013216
coolness	0000644
digestion	0000879
reorganization	0001362 marked
giver	0000489
enlist	0001171
depreciation	0000722
emerging	0010644
retention	0003655 marked
close, but no cigar	0000000 marked
equate	0000917
receive	0024104
pointless	0001219
net migration	0005763
surplus	0004290
correspondence	0003816
decadent	0000712 marked
two's-complement	0000000 marked
break out	0067794
declaration	0003766
defiant	0001617
realise	0000135
dabbler	0000037
startling	0003398
on behalf	0008677
prosperous	0002565
bison	0001393
bank account	0033248
smite	0000086 marked
hang out	0014979
tupperware	0000295
embryo	0001378
chinstrap	0000000 marked
(a) bed of roses	0000000 marked
portrayal	0001770
negligible.	0000000
canopy	0002650
poncho	0000311
incite	0000437
mediocrity	0000553
merry-go-round	0000000
interpose	0000051
connive	0000025
if you ask me	0095592 marked
vacate	0000304
clerical	0001339
inherent	0005544
find himself	0113770
cautiously	0002637
accountable	0004174
encroach	0000173
perish	0000685
pastime	0000973
stipulate	0000360
none other than (somebody/something)	0000000 marked
insufficient	0002946
tug on	0002167
on the contrary	0009311
pro	0012606
despondency	0000144
intrinsic	0002964
equates	0000374
studded	0000846
determinacy	0000000
favoritism	0000510
sleep on it	0037318
cornflakes	0000145
guilty	0018403
median	0004381
incise	0000025
proximity	0003209
pry	0001028 marked
without careful thought	0018717 marked
pubic	0000583
deftly	0000983
receipt	0001539
congeal	0000061
maritime	0001843
go nuts	0008005
soothsay	0000000
poacher	0000142
coastal	0007205
derogatory	0000511
quibble	0000372
turn out	0094098 marked
goalkeeper	0000292
crevasse	0000000 marked
perm	0000222
So in conclusion	0016071
tug-of-war (tug of war)	0000000 marked
tirelessly	0000498
lesson plan	0015374
ceremonial	0002166
thicket	0000896
suspense thriller	0001090
distend	0000019
cylinder-head	0000000
processed food	0003371
by-law	0000000
wellness	0001425
prudent	0001887
perk	0000670 marked
literaly activity	0000000
I look forward to hearing from you soon.	0000000
enclose	0000441
vanishing point	0001383
thieve	0000000
slither	0000258
notwithstanding	0002500
volatile	0003116
generic	0003398 marked
endorse	0002403
marital	0003676
heinous	0000679
seclude	0000026
golf club	0021782 marked
bugler	0000000
wither	0000446
quotation	0001146
tray	0004853
nocturnal	0000899
hammered	0001638 marked
notorious	0003515
dominion	0000625
get to the point	0161543
nip (something) in the bud	0000000 marked
hydrogen	0005112 marked
superimpose	0000163
infant	0006422
scrapbook	0000522 marked
technophile	0000000 marked
continually	0004301
sour patch kids	0004969 marked
cannot stand	0000094
chase out	0006340 marked
trap	0005817
struggle	0020140
tantalizing	0000967
big toe	0004317
pest	0001517
aviary	0000146 marked
incurable	0000513
pedal	0002159
put (something) in (something)	0000000 marked
infamy	0000279
rotundity	0000008 marked
provided that	0041011
Many thanks to your message.	0000000
insightful	0001035
heritage	0010255
infancy	0001313
dandruff	0000215 marked
crank up	0001617
chip away	0008228
veiled	0001095
earplug	0000000
lapse	0000992 marked
outrageously	0000329 marked
unquestionable	0000196
quandary	0000557 marked
light	0104160
apparently	0027705
standpoint	0003494
sweep a floor	0004838
unfounded	0000792 marked
publicly-funded	0000000
carry-on luggage	0000000
circled	0002232
valuable	0013150
muddle	0000384
joule	0000031 marked
look forward to	0054375 marked
stifling	0000978
methods	0022280
conditionally	0000099
sneak in	0003059
indictment	0003366
lasting legacy	0004829
(right) off the bat	0000000 marked
I was supposed to receive	0024104
hoax	0000905 marked
level the playing field	0053512
overreliance	0000000 marked
non-repudiation	0000000 marked
impact-making	0000000
helmet	0004855
henceforth	0000515
barrel	0006800
axe to grind	0001420
desire	0023719 marked
unintelligible	0011563
murmur	0001252
muddy	0003307
unfortunately	0018250
lately	0007026 marked
rookie	0005808
barren	0001918
dickish	0000000 marked
grove	0001868 marked
excitedly	0001085
inchworm	0000000 marked
fungi	0001518
self-loathing	0000000 marked
permanent	0013921
antiquity	0001158
foster	0013713 marked
receptacle	0000335
faithless	0000152
summarize	0001104
wash down	0011428
tricycle	0000263
incidence	0003968 marked
fragility	0000623
facility	0014932
gregarious	0000521
a couple cans short	0005016
benevolently	0000075
appointment	0007160
emulate	0001250 marked
wondering	0013588 marked
flatten	0000803
trek	0003697
interrupt	0002984
unassuming	0000625 marked
feasible	0002602 marked
consider	0044157
flatter	0000779
proofread	0003908 marked
tack	0001518
figment	0000223
gross	0008097
bide your time	0000161
suitability	0000474
workshop	0005729
plain sight	0012201
bereave	0000000
allotment	0000587 marked
disarm	0001026
eclipse	0002583 marked
soak	0002261
distrust	0001885
animosity	0000990 marked
unharmed	0000482
soar	0001346
income tax	0032573
forearm	0001748
non-partisan	0000000
enmeshed	0000367
flagging	0000445
sustain	0005427
arbitrarily	0000638
classify	0001193
request	0014044
altitude	0002768
nadir	0000300
substitution	0001152 marked
I was hoping you could share some insights as to whether I should	0004871
insurmountable	0000621
inherently	0002523
sourness	0000080
some people still prefer	0011792
to head	0160365
how can i put this	0196897
frighten	0001041
uphold	0001515
eternity	0002147
process	0104066
drippy	0000000
unease	0000867
viscous	0000379
festive	0001545
cleat	0000234
encounter	0009582
relocation	0001334
landslide	0000947 marked
centripetal	0000093
head first	0160365
praiseworthy	0000166
phylum	0000069 marked
sinus	0001411
cheap shot	0012387 marked
neither	0031840
fulfilling	0002039 marked
unclog	0000064
hurry	0006613
get stuck in	0016699
semi-colon	0000000
account	0033248
snippet	0000194
elaborate on	0007032 marked
mostly	0029528
swivel	0000726 marked
miniskirt	0000000
backtrace	0000000
far-out	0000000
repulse	0000096
innocent	0012229
hoarse	0000852
insider dealing	0002690
break off	0067794 marked
diligence	0000734
advance payment	0007928
evaluation	0013501
tramp	0000533 marked
actuator	0000000
traitor	0001036
trip	0034294
stimuli	0002157 marked
trim	0005309
sinewy	0000270
shot in the dark	0053555
noticeably	0001207 marked
rally	0006380
knowledge	0052592
fictitious	0000734
prime	0023685
in that case	0157346
iris	0003023
seamless	0001096
avoidable	0000252
loyal	0005279
contusion	0000055
get together	0125096
chapel	0002856
go through	0392126 marked
venture	0008866
intents and purposes	0000357
with this in mind	0091004 marked
propensity	0001271
discern	0001759
enthusiasm	0007483 marked
valuation	0000919
triviality	0000083
catastrophizing	0000000 marked
flexible	0006599
transfix	0000024
phonic	0000029 marked
replenish	0000650
down-to-earth	0000000
i.e.	0000000
intoxicate	0000029
likability	0000000
faster talker	0000478
truckload	0000000
so as to	1002273
(a) front	0000000 marked
fourth estate,	0000000
gear up	0011591 marked
soil	0019872
solidify	0000528 marked
interweave	0000078
capability	0005615
involvement	0016165
peter	0000000
disparity	0001726
spark	0003353
integral	0004102
Let's get down to business.	0000000
fizzy	0000130
spare	0007125
replicate	0001521
come around	0278211 marked
takeoff	0001143 marked
Large Hadron Collider	0000000 marked
desultory	0000209
piston	0000490 marked
let's get to	0000000
too much time on your hands	0091651 marked
pistol	0004399
self-confidence	0000000
stepmother	0001000
noticeable	0002073
watertight	0000218
transition	0014681 marked
chivalry	0000281
give up	0153393
mutter	0000554
suss out	0000060
cultivate	0001588
junk	0004912
propulsive	0000000
ineffable	0000294
canoodle	0000000
analytic	0001227
purse	0005842
treadmill	0001554
pile foundation	0008685
goodwill	0001895
compete	0011007
lie down	0022853 marked
toe poke	0001707
accountant	0002235
roll around	0019877
priesthood	0001056
unindustrious	0000000
interpersonal	0003231
tale	0009552
pick and choose	0027977 marked
trail	0020829
I am looking forward to discussing my credentials with you personally	0002966
bewildering	0000634
outdated	0001540
prior	0020565
rubber	0007365
sweltering	0000557
in particular	0058076
touch off	0031428
purgatory	0000485 marked
trait	0003121
underwear	0003341
giving in	0044421
tall	0021728
brewer	0000527
vault	0002010
blowout	0000610
The ideal solution would be	0014453
venerate	0000080
dedicated	0009495
commonly	0008206
creep	0001763
blowup	0000000 marked
scholar	0005718
motorway	0000096
revolting	0000339
contradictory	0002689
take	0304841
accompany	0003051
obviate	0000171
We apologize for any inconvenience caused.	0000000
immediate	0016324
beneficial	0005297
haikus	0000000
relatively	0027485
minnow	0000355 marked
differentiator	0000000 marked
hinge	0001029
subtlety	0000741
soma	0000205
aimless	0000323
house of assembly	0007031
fiscal year	0008433
apiece	0001662
hone	0000665
primarily	0017610
tang	0000483
accretion	0000480
extrinsic	0000773 marked
trot	0000911
microscale	0000000
spinal cord	0002362
reception	0006303
tank	0011969
sole	0006409
junkie	0000816
jury	0023245
new appointment	0007160 marked
lawnmower	0000201
unearned	0000249
strictly	0005726
impend	0000000
undoubtly	0000000
congest	0000023
winger	0000370
tame	0001434
throw in	0020610 marked
iron	0015301
peculiar	0004260
downhill	0003047 marked
injection	0002960
intolerant	0000668
tea-pot	0000000
sparkle	0001038
encampment	0000535
digestive	0001177
indissolubly	0000000
relatively speaking	0027485 marked
plague of	0002945
go up	0392126 marked
come to know	0284722
collaborator	0000741
scholarly	0003678 marked
it appears to me that	0031991 marked
executive	0038342
outspeak	0000000
hook	0007992
opprobrium	0000115
fathom	0000914 marked
lacerate	0000014
classifier	0000000
fist pound	0005247 marked
PTSD (post-traumatic stress disorder)	0000000 marked
displacement	0001773
anticipated	0005826 marked
whimsical	0000959 marked
validation	0001512
off-putting	0000000 marked
heartless	0000474
misconduct	0001972
studious	0000236
adversely	0001053
wizardry	0000286 marked
ridicule	0001198
creak	0000589
mess up	0010788
propulsion	0001380 marked
bite the bullet	0006809
hood	0006875
distinctly	0002243
vacant	0003069
disbelief	0002664
culprit	0001345
scintillate	0000005
singe	0000081
honk	0000350
irate	0000542 marked
appease	0000659
inequity	0000408
impede	0001012
maltreat	0000000
deity	0001205 marked
for certain	0071143 marked
machinery	0003870
ostrich	0000473
tannery	0000000 marked
make it stick	0019278
unpleasant	0003225
anvil	0000424 marked
uncannily	0000224 marked
conquered	0001523
gratuity	0000167
smirk	0000731 marked
file	0016373 marked
induction	0001384
greasy	0001688 marked
scrapbooking	0000000
insular	0000487
intrepid	0000690
cacti	0000378
heave	0000546
affirmative	0005909
creed	0000892
elimination	0002669 marked
nourish	0000553
grease	0002812
work permit	0009218
within	0127293
allege	0000653
amber	0002146
chasten	0000017
legal education	0046827
get out of hand	0147365 marked
prospect	0008345
rustle	0000606
jubilation	0000259
ramble around	0000298
PIN	0005285
twinge	0000585
refugee	0004543
dishearten	0000000
infidelity	0001231
appallingly	0000128 marked
instance	0030406
consonant	0000458
tablecloth	0000843 marked
backlash	0002404
unambiguous	0000637
inconsequential	0000612 marked
convoluted	0000651
receptive	0001596
heterogeneous	0001031
astound	0000064
rarefied	0000740 marked
crookedness	0000027 marked
heath	0000332
bound up	0010947
fine	0052169
host	0027050
backward	0006200
ascot	0000000
lapel	0000742 marked
breezy	0000715
spinelessly	0000000 marked
is a snap	0005335
clutter	0001379
cables	0002401
another helping	0024012
ouster	0000553
delivery note	0010690
pleasant	0007934 marked
occur	0017491
a bit	0074537
hose	0002858 marked
irreconcilable	0000383 marked
sluice	0000123
definitive	0003163 marked
awning	0000488
nomad	0000321 marked
zap out	0000494
mucus	0000494
contagion	0000455
mosey	0000098
convenient	0004434
infer	0000943
glop	0000000 marked
slim down	0004627
grunting	0000563
concoction	0000513
get a shot	0053555
adolescent	0007223
sore	0003536 marked
bathing suit	0002521
populous	0000870
glow	0006274
petty	0003359 marked
laughter	0012547
since	0206181
sentiment	0004526
sheath	0000887
patent	0004582 marked
dog days	0036104
outwit	0000171 marked
pollen	0001679
groove	0001295
abundance	0004428
management process	0047030
certificate	0002927
sour	0004969
divan	0000247
carry around	0029386
peer over	0009388
predate	0000222 marked
plumber	0000804
get plenty of rest	0019724
step in	0052415
troubled	0007966
insulator	0000117
nebulous	0000363
get to know (somebody/something)	0000000 marked
execution	0005291
poodle	0000552
downside	0001977 marked
equation	0005011
deviation	0001831 marked
sought	0017313
volition	0000367 marked
discredit	0000975
bevel	0000164
underlie	0000662
extraordinary	0012905
general director	0074261
beech	0000380
narrator	0004767
privy	0000803 marked
tidbit	0000204 marked
down to the wire	0011595
evident	0009072
pulling	0013847
taut	0001491
reference implementation	0009440 marked
marrow.	0000000
soapstone	0000105
measles	0000472
fence	0010424
ruthlessly	0000399
eager beaver	0001734
have over someone	0100013
giddy	0001258 marked
glum	0000398 marked
edifying	0000155
drift about	0004098
firm	0037852
credibly	0000202 marked
contribution	0009591
outfit	0004373
cordless	0000682
ongoing	0010913 marked
sliver	0000928
constellation	0001861
conveyance	0000273 marked
beagle	0000451 marked
ignorant	0002579
trample	0000266 marked
doomsday	0000427 marked
trial court	0036476
negligible	0001128
wrongdoings.	0000000
setback	0001481
pitch-black	0000000
chastisement	0000073
distinguish	0005320
primordial	0000934 marked
far-off	0000000
savvy	0002575
bank on (something/someone)	0000000 marked
howl	0001238
fiddler	0000230
wield	0000815
disastrous	0002673
weigh up	0004599
processing	0010200 marked
except	0040301
administer first aid	0001881
psychotic	0000958
a tad	0000892 marked
infectious	0002845 marked
on the line	0107095
prominent	0011431
poppy	0001294
shipyard	0000643
turns out	0040905
fist	0005247
trainers	0001790
entitle	0000178
outline	0003827
attitudinal	0000740
nominal	0001466
unless	0029158
excess	0007744
perspective	0023766 marked
denoted	0000293
sold on	0032869
razor wire	0002309
ought	0022167
admonition	0000504
invade	0001852
flight attendant	0003539
accordance	0002515
restrictive	0002126
bewilderment	0000577
peninsula	0002124 marked
I've been asked to talk about	0000000 marked
an opening	0030248
abandon	0005246
generalisation	0000008
insistent	0001255
enough is enough	0157442
intolerable	0000996
adverse	0003599
alarming	0002462 marked
bandanna	0000388
gourmet	0002316
out-of-the-box	0000000
cannon	0001834
consign	0000132
mainly	0011776
meticulously	0001121
sit back	0041903 marked
budge	0001026
subliminal	0000384
restrain	0001270
risks analysis	0014363
adhesive	0000821 marked
rummage	0000328
to the point	0161543 marked
beforehand	0001398
mutton	0000290
tuxedo	0000914
admirable	0001387
multiplier	0000326
durability	0001225
cradle	0001752 marked
shale shaker	0000489
coconut	0002798
hunger	0005685
squad	0004678 marked
go along	0122730
gunpoint	0000579
misapprehension	0000074 marked
downsize	0000342 marked
engraving	0000934
seethe	0000088
seeing that	0038350 marked
give attitude	0019431
preconception	0000056
squat	0001844
rough	0012635
upend	0000086
lawsuit	0007928 marked
internal control	0022978
stained glass	0003081
jukebox	0000778
barrister	0000136
purge	0000858
derivative	0000848
commerce	0006207
assistance	0018172
septuagenarian	0000072
cut to the chase	0006340
moonshine	0000249 marked
definition	0014149
wonder	0029837
last-ditch	0000000
mansion	0004683
summary	0006628
akin	0002359 marked
accustom	0000057
feline	0000451
entail	0001194
many people hold the opinion	0026848
how could you tell	0174179
seek out	0019615
ad nauseam	0000000
the elephant in the room	0003798
dilation	0000223
artificial	0006984
Unfortunately, he denied me the service that I requested	0000000
chastise	0000165
handball	0000235
clutter up	0001379
B.O.	0000000
flat out	0020710 marked
multipronged	0000000 marked
To achieve this look, visit our store.	0000000
vaporize	0000160
walk up	0049583 marked
be all ears	0014353 marked
caveat	0000846
pander	0000191
coerce	0000407
employ	0004661
a show of hands	0091651
quintessential	0001050 marked
unsurprisingly	0000236 marked
slack off	0002315
disadvantaged	0001980
prefix	0000191
hitchhike	0000128 marked
defuse	0000605 marked
reasoning	0005020
desirable	0004797
during	0198864 marked
instill	0000999 marked
reestablish	0000556
ingest	0000342
consist	0002369
prick	0000854
slanty	0000000 marked
defensive	0012060
teeny-tiny	0000000
profiteer	0000054
jeer	0000095
sharpness	0000522
dependent	0010751 marked
phlegm	0000181
leggings	0000508
transitive	0000067 marked
scathe	0000000
crest	0002278
staples	0001779
deplore	0000280
ask around	0095592
passionately	0001461
briefly	0010502
resilient	0001398
cherish	0001027
bits and pieces (bits and bobs)	0000000 marked
terser	0000000
agree	0039283
swelling	0002822
resistance	0016244
fallible	0000205
occlude	0000048
fascination	0002933
gluttony	0000199 marked
discrepancy	0002001
nursery	0003403
prolong	0000892
to conclude	0005465
inhuman	0000658
antiquated	0000755
morph	0000000
broadcast	0011447
distress	0005119
decondition	0000000
amygdala	0000000
get off the grid	0003976
interlocutor	0000260 marked
utmost importance	0001162
interceptor	0000198
per capita	0003137
substitute	0005693
overconfident	0000000
bountiful	0000546 marked
moreover	0016681
scatter	0001371
violate	0002902
rubble	0002653
wherever	0007709
outlying	0000667
sound out	0064424
inhabit	0001473
multitude	0001739
downstream	0002096
middle man	0074091 marked
toggle	0000209
fascinating	0006577
incremental	0001512
fizz	0000201
agenda	0015506
comma	0000266
ferris wheel	0000000 marked
flowable	0000000
rigidly	0000599
vivacious	0000294
hermit kingdom	0000540 marked
nod off	0004866
spar	0000415
span	0004408
clues	0004387
bizarre	0005114
myalgia	0000025
prefer	0011792
divot	0000100 marked
cliffhanger	0000000
minority	0018749
allure	0001117
tight	0019189
reference	0015329
chamber	0010218
arrange	0005307
systems management	0047030
come up with	0284722
unerring	0000000
debilitating	0001204 marked
exponent	0000363
squadron	0001244
bear the brunt	0000879 marked
closing remarks	0007140
circuitous	0000321
workstation	0000620 marked
commitment	0020223
invariable	0000084
Prestige	0003124
fossil	0003954
solicit	0000804
prime rate	0023685 marked
fixture	0001387
bungee jumping	0000348 marked
collision	0002890
arbiter	0000565
close-up	0000000
comfy	0000639
confabulation	0000031
arthritis	0002860
squid	0001300
snuff (somebody) out	0000000 marked
self-restraint	0000000
intervention	0016295 marked
conduct a conference	0016335
rumble	0001443 marked
bosom	0000948
invariably	0002775
curb your appetite	0003968
delicately	0001414
thrilling	0001449
umbrage	0000176
ibid	0002807
beyond me	0058548 marked
need not	0012498
interact	0004303
statements	0015388
outright	0003280
churn out	0000644
aggregate	0001780
empowerment	0002265
Could you send the price list again in a different format, please?	0000000
public school	0178567
trace	0008018
hydraulics	0000000
shortcut	0000864
petal	0000358 marked
forcefully	0001352
pneumonia	0001888
array	0007780
getting rid	0010257
nominee	0005352
track	0033785
account for	0033248
enslave	0000146 marked
monetary	0005320
passageway	0000760
stifle	0000700
trader	0001979
trades	0002811
flatten out	0000803
fracking	0000000 marked
demolish	0000392
astroturfing	0000000
true calling	0031689 marked
westward	0001130
performance	0055535
trade	0053961 marked
currently	0022690
ambassador	0008852 marked
pretty much	0066595
spew	0000342 marked
way off	0304479 marked
derivation	0000292
invoice	0000385
wistfulness	0000094
misinterpret	0000135
fulgurous	0000000
paternal	0000988 marked
vague	0004972
treacher	0000000
disenthrall	0000000
that's a wrap	0000000
civility	0001228 marked
springboard	0000584 marked
resplendent	0000339
unrest	0001926 marked
ephemeral	0000919 marked
accuracy	0007470
redistribution	0000890
overbearing	0000403 marked
to say nothing of	0132348 marked
adding insult to injury	0002882
pull an all-nighter	0000000 marked
score	0020731
isle	0000358
smattering	0000506
precipice	0000395
quote	0010694
rad	0000000
orifice	0000184
scorn	0001023
rag	0001888
sulfur	0001726
improbable	0001337 marked
flip chart	0004237
terrain	0006056
to recapitulate	0000081
ram	0001044
scaffolding	0000813
appendix	0000772
deep-rooted	0000000
raw	0011809
smartass	0000000
adaptability	0000556
wizen	0000000
snore	0000364
gainsay	0000044
stand for	0056181 marked
topple	0000846
undercurrent	0000448 marked
endure	0003445 marked
snort	0000683
throat	0014070 marked
Definitely	0019368
convergent	0000447
essence	0008509
whet your appetite	0000176
ambient	0001198
uncertainty	0006530
high horse	0020375
incense stick	0001121
omnipotent	0000279
dual	0004369
aspect	0012689
repetitious	0000175
stirrup	0000211
slimy	0000690
hard-line	0000000
indulgence	0000802 marked
stave off	0000827
mitigate	0001230
signify	0001045
slink	0000164 marked
succinct	0000393
reconciliation	0004287 marked
sling	0000945 marked
oppression	0003065
cluelessness	0000000
swing	0011493
indices	0001275
abs	0000000
authoritatively	0000177
leisurely	0001186
unrelated	0002540
dissect	0000398
spin	0007557
childcare	0000520
loosely	0002911
robber	0000907
shallow	0006453
frankness	0000218
collateral	0001426
anterograde	0000000
congestion	0001944
spit	0003414
scour	0000473 marked
fleet	0005762
couple	0068465
cure-all	0000000 marked
astonishment	0001302
toil over	0000651
jerk	0002432
market value	0050471
moved	0060789 marked
tubers.	0000000
demise	0002917
to build upon	0039065
run out of	0103714
backpedal	0000060
with flying colors	0017862
transmission	0010685
frieze	0000321
duck	0005932 marked
offender	0001903
shortage	0004603
dubious	0002431
a number	0151261
blood-thirsty	0000000
leading on	0036208
moustache	0000578
utensil	0000128
liquidate	0000242 marked
ratify	0000548
rev	0000628
sweet tooth	0003119
sweeping change	0005764
amend	0000997
finite	0001741
nincompoop	0000026
check in	0040374 marked
single-handedly	0000000 marked marked
exclusivity,	0000000
consent	0006985
benevolent	0001194
commendable	0000402
helpless	0003226
parenthesis	0000135
mutual	0011892
unit cost	0025487
wash up	0011428
therefore	0037242
contiguous	0000659
trust	0030277
puddle	0001189
riveting	0000666 marked
omelette	0000198
(the) here and now	0000000 marked
nightie	0000132
carrier bag	0005197
scoop	0002474
incendiary	0000505 marked
turban	0000538
fleck	0000286
backlight	0000000 marked
overtake	0000530
thermite	0000000 marked
scarecrow	0000613
prevent	0025283 marked
outskirt	0000000
amicus	0000000
glitch	0000535
decluttered	0000000 marked
irresponsible	0002288
scope	0009617
firm footing.	0000000
expectancy	0002133
enumerate	0000126
put a cap on	0012437
strikethrough	0000000
snoop	0000676 marked
incapable	0002371
estrange	0000026
pull the strings	0003884 marked
embrace	0007959
judicious	0000532
label	0009567
misogyny	0000278 marked
irritation	0001694
squishy	0000000 marked
crap	0002681
modify	0007521
effusive	0000276 marked
distal	0000667
long-overdue	0000000
cram	0000653
mortify	0000016
weightlifter	0000000
villainous	0000180
dispose of	0001114
mud pump	0007548
exempt	0001918
theorize	0000418
hayseed	0000000
tights	0000841
albeit	0003722
aesthetic	0006921
tendency	0008420
yearn	0000593
spectacularly	0000685 marked
caption	0001485
faulty	0001501
rid	0010257
go over	0392126 marked
intake of breath	0003691
boar	0000697
eject	0000306
rig	0002113
roll-over	0000000
defect	0001893
tacky	0000769
prime factor	0023685 marked
swish	0000509
get cut	0094241
reinforce	0003327 marked
ebb and flow	0000733 marked
rim	0005017
odds	0009646
rip	0003062
decline	0015339
Asset	0004606
change out of	0125953
somersault	0000150
raggedly	0000068 marked
tapeworm	0000044 marked
something feels off	0024168 marked
get back	0517529 marked
troubleshoot	0000000 marked
scuffle	0000381
purchasing power	0003629
car-packed	0000000
embroider	0000082
outlier	0000000
whistle	0003101
rucksack	0000185
snappy	0000507
aggregated	0000324
shrubbery	0000374
nonchalant	0000334 marked
cutting edge	0017369
chamomile	0000370 marked
yeast	0001867
guise	0001142
likelihood	0006025
spellcheck	0000000
spot	0027368
mighty	0004083
reactionary	0000840
skillet	0004793
rise and shine	0004110
aid	0026722
slough	0000457
aim	0009566
coexistence	0000662
sophistication	0001882 marked
quilting	0000431
retain	0005670
drastic	0002180 marked
retail	0009632
crew	0019232
sophomores	0000653
defeat	0008992
imbrication	0000000
spry	0000205 marked
pick battles	0005957
drift around	0004098 marked
accommodate	0005842
hedonic	0000000
steadily	0005271
tenacity	0000744
curtly	0000268 marked
protagonist	0002049
double-layer	0000000
unsolicited	0000624
intermission	0000385
sacred	0009448
outcome	0013660
pontificate	0000188
up-and-coming	0000000
tender	0007836
cred	0000000
craving	0001210
for and against	0218609 marked
moat	0000446
inward-looking	0000000
inaccuracy	0000189
grainy	0000815
circumspect	0000333
meantime	0006097
recollect	0000241
reversal	0002298
heirloom	0000951 marked
aircrew	0000023
altercation	0000335
banter	0000662
dehydrate	0000064 marked
deus ex	0000000
labia	0000106
burnished	0000429
moan	0001088 marked
security checkpoint	0001091
tunic	0001022
icing	0001077
selfhood	0000000
prosaic	0000401
fledgling	0001531 marked
duke	0003033
feeblemindedness	0000000
untrained	0000654
scissor	0000000
glove	0003916
uptight	0000482
implicitly	0001780
glass-sided	0000000
flock to	0003358 marked
spur	0001933
amongst	0002404
cage	0005478 marked
idiomatic	0000129
decimate	0000123
buffer	0001902
complement	0002786
pet scan	0004124
lock up	0009143 marked
bode	0000675 marked
forebear	0000061
imposter	0000202
underemployed	0000000 marked
applicable	0002750
polymath	0000055
adhere	0001735
expense	0008435
working flat out	0020710 marked
throttle back	0001420
contemporary	0020484
i would be grateful if you could	0008004
oft-cited	0000000
mock	0002848 marked
fixed costs	0013076
leverage	0003265
susceptibility	0000851
fabric of society	0008504
potty	0000465
rob	0007753
outing	0001560 marked
amp	0000446
rod	0004582
verdant	0000474
dumb	0005130 marked
delusional	0000568
farthest	0001007
grand staircase	0002644
lifeline	0000739
chemise	0000000
favour	0000343
if anything	0130301 marked
turn someone down	0094098
